Roll Call,Majority,Congress Num,Legislation Number,Date,Time,Question,Description,Result,Republican Yes,Republican No,Republican Present,Republican Not Voting,Democrat Yes,Democrat No,Democrat Present,Democrat Not Voting,Independent Yes,Independent No,Independent Present,Independent Not Voting,Total Yes,Total No,Total Present,Total Not Voting
119,R,108,MOTION,9-Apr-2003,2:53 PM,table appeal of the ruling of the chair,None,Passed,223,0,0,5,4,194,1,6,0,1,0,0,227,195,1,11
120,R,108,H R 1036,9-Apr-2003,3:48 PM,On Agreeing to the Amendment,None,Failed,2,221,0,5,146,56,0,3,0,1,0,0,148,278,0,8
121,R,108,H R 1036,9-Apr-2003,3:56 PM,On Agreeing to the Amendment,None,Failed,2,220,0,6,132,68,0,5,0,1,0,0,134,289,0,11
122,R,108,H R 1036,9-Apr-2003,4:04 PM,On Agreeing to the Amendment,None,Failed,4,218,0,6,140,61,0,4,0,1,0,0,144,280,0,10
123,R,108,H R 1036,9-Apr-2003,5:39 PM,On Motion to Recommit with Instructions,Protection of Lawful Commerce in Arms Act,Failed,0,221,0,7,140,60,0,5,0,1,0,0,140,282,0,12
124,R,108,H R 1036,9-Apr-2003,5:48 PM,On Passage,Protection of Lawful Commerce in Arms Act,Passed,221,3,0,4,63,137,0,5,1,0,0,0,285,140,0,9
125,R,108,H RES 170,9-Apr-2003,5:55 PM,On Motion to Suspend the Rules and Agree,Recognizing the 40th anniversary of the sinking of the U.S.S. Thresher,Passed,222,0,0,6,200,0,0,5,1,0,0,0,423,0,0,11
126,R,108,H RES 149,9-Apr-2003,6:03 PM,On Motion to Suspend the Rules and Agree,Expressing the condolences of the House of Representatives in response to the assassination of Prime Minister Zoran Djindjic of Serbia.,Passed,222,1,0,5,202,0,0,3,1,0,0,0,425,1,0,8
127,R,108,S 151,10-Apr-2003,12:34 PM,On Agreeing to the Conference Report,“Prosecutorial Remedies and Tools Against the Exploitation of Children Today Act of 2003” or “PROTECT Act”,Passed,225,1,0,3,175,23,2,5,0,1,0,0,400,25,2,8
128,R,108,H CON RES 141,10-Apr-2003,12:43 PM,On Motion to Suspend the Rules and Agree,"Expressing the sense of the Congress that the Internal Revenue Code of 1986 should be fundamentally reformed to be fairer, simpler, and less costly and to encourage economic growth, individual liberty and investment in American jobs.",Passed,221,0,0,7,202,0,0,3,1,0,0,0,424,0,0,10
129,R,108,H RES 165,10-Apr-2003,12:51 PM,"On Motion to Suspend the Rules and Agree, as Amended","Expressing support for a renewed effort to find a peaceful, just, and lasting settlement to the Cyprus problem.",Passed,222,0,0,6,199,0,0,6,1,0,0,0,422,0,0,12
130,R,108,H RES 189,10-Apr-2003,2:08 PM,On Ordering the Previous Question,"Providing for consideration of H.R. 6, Energy Conservation and Research",Passed,225,0,0,3,1,201,0,3,0,1,0,0,226,202,0,6
131,R,108,H RES 189,10-Apr-2003,2:15 PM,On Agreeing to the Resolution,"Providing for consideration of H.R. 6, Energy Conservation and Research",Passed,224,0,0,4,12,189,0,4,0,1,0,0,236,190,0,8
132,R,108,H R 6,10-Apr-2003,6:47 PM,On Agreeing to the Amendment,None,Failed,29,197,0,2,132,71,0,2,1,0,0,0,162,268,0,4
133,R,108,H R 6,10-Apr-2003,6:55 PM,On Agreeing to the Amendment,None,Failed,22,204,0,2,170,33,0,2,1,0,0,0,193,237,0,4
134,R,108,H R 6,10-Apr-2003,7:02 PM,On Agreeing to the Amendment,None,Agreed to,196,30,0,2,30,171,0,4,0,1,0,0,226,202,0,6
135,R,108,H R 6,10-Apr-2003,9:27 PM,On Agreeing to the Amendment,None,Failed,29,194,0,5,167,34,0,4,1,0,0,0,197,228,0,9
136,R,108,H R 6,10-Apr-2003,9:35 PM,On Agreeing to the Amendment,None,Agreed to,213,10,0,5,201,0,0,4,1,0,0,0,415,10,0,9
137,R,108,H R 6,10-Apr-2003,9:44 PM,On Agreeing to the Amendment,None,Failed,2,220,0,6,170,32,0,3,1,0,0,0,173,252,0,9
138,R,108,H R 6,10-Apr-2003,9:53 PM,On Agreeing to the Amendment,None,Failed,22,201,0,5,170,30,0,5,1,0,0,0,193,231,0,10
139,R,108,H RES 190,11-Apr-2003,12:04 AM,On Agreeing to the Resolution,Waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules.,Passed,223,0,0,5,0,202,0,3,0,1,0,0,223,203,0,8
140,R,108,H RES 191,11-Apr-2003,1:06 AM,On Agreeing to the Resolution,Waiving points of order against the conference report to accompany H. Con. Res. 95 establishing the congressional budget for the US Government for FY 2004 and setting forth apprpriate budgetary levels for fiscal years 2003 and 2005 through 2013.,Passed,220,0,0,8,1,201,0,3,0,1,0,0,221,202,0,11
141,R,108,H CON RES 95,11-Apr-2003,2:39 AM,On Agreeing to the Conference Report,Congressional Budget for FY 2004,Passed,216,7,0,6,0,203,0,2,0,1,0,0,216,211,0,8
142,R,108,H R 6,11-Apr-2003,12:14 PM,On Agreeing to the Amendment,None,Failed,9,214,0,5,161,37,0,7,1,0,0,0,171,251,0,12
143,R,108,H R 6,11-Apr-2003,12:24 PM,On Agreeing to the Amendment,None,Failed,25,196,0,7,182,16,0,7,1,0,0,0,208,212,0,14
144,R,108,H R 6,11-Apr-2003,1:00 PM,On Motion to Recommit with Instructions,"Energy Conservation, Research, and Development",Failed,0,224,0,4,170,26,0,9,1,0,0,0,171,250,0,13
145,R,108,H R 6,11-Apr-2003,1:07 PM,On Passage,"Energy Conservation, Research, and Development",Passed,207,17,0,5,40,157,0,8,0,1,0,0,247,175,0,13
146,R,108,H RES 204,29-Apr-2003,6:55 PM,On Motion to Suspend the Rules and Agree,Congratulating Charter Schools Across the United States,Passed,218,0,0,10,184,0,5,16,1,0,0,0,403,0,5,26
147,R,108,H CON RES 156,29-Apr-2003,7:02 PM,On Motion to Suspend the Rules and Agree,Extending Congratulations to the United States Capitol Police on the Occasion of its 175th Anniversary,Passed,220,0,0,8,189,0,0,16,0,0,0,1,409,0,0,25
148,R,108,H CON RES 149,29-Apr-2003,7:19 PM,"On Motion to Suspend the Rules and Agree, as Amended",Expressing Support for the Celebration of Patriot’s Day and Honoring the Nation’s First Patriots,Passed,219,0,0,9,192,0,0,13,0,0,0,1,411,0,0,23
149,R,108,H RES 206,30-Apr-2003,11:52 AM,On Agreeing to the Resolution,Providing for consideration of H.R. 1350; to reauthorize the Individuals with Disabilities Education Act,Passed,210,4,0,14,1,190,0,14,0,1,0,0,211,195,0,28
150,R,108,H R 1350,30-Apr-2003,2:57 PM,On Agreeing to the Amendment,None,Agreed to,218,0,0,10,194,0,0,11,1,0,0,0,413,0,0,21
151,R,108,H R 1350,30-Apr-2003,3:07 PM,On Agreeing to the Amendment,None,Failed,180,43,0,5,2,196,0,7,0,1,0,0,182,240,0,12
152,R,108,H R 1350,30-Apr-2003,3:14 PM,On Agreeing to the Amendment,None,Failed,174,50,0,4,2,196,0,7,0,1,0,0,176,247,0,11
153,R,108,H R 1350,30-Apr-2003,3:23 PM,On Agreeing to the Amendment,None,Failed,53,170,0,5,1,196,0,8,0,1,0,0,54,367,0,13
154,R,108,H R 1350,30-Apr-2003,4:25 PM,On Passage,To Reauthorize the Individuals with Disabilities Education Act,Passed,217,7,0,4,34,163,0,8,0,1,0,0,251,171,0,12
155,R,108,H R 1298,1-May-2003,1:43 PM,On Agreeing to the Amendment,None,Agreed to,221,3,0,4,55,141,0,9,0,1,0,0,276,145,0,13
