Vote Number,Congress Num,Session,Legislation Number,Date,Question,Vote Title,Document Text,Result,Majority Requirement,Republican Yes,Republican No,Republican Present,Republican Absent,Democrat Yes,Democrat No,Democrat Present,Democrat Absent,Independent Yes,Independent No,Independent Present,Independent Absent,Total Yes,Total No,Total Present,Total Absent,Tie Breaker
276,111,2,H.R. 4853,"December 15, 2010,  01:02 PM",On the Motion (Motion to Concur in the House Amdt. to the Senate Amdt. with Amdt. No. 4753 to H.R. 4853),Motion to Concur in the House Amdt. to the Senate Amdt. with Amdt. No. 4753 to H.R. 4853,"A bill to amend the Internal Revenue Code of 1986 to extend the funding and expenditure authority of the Airport and Airway Trust Fund, to amend title 49, United States Code, to extend authorizations for the airport improvement program, and for other purposes.",Motion Agreed to (81-19),'1/2',37,5,0,0,43,13,0,0,1,1,0,0,81,19,0,0,
277,111,2,Treaty Doc. 111-5,"December 15, 2010,  02:13 PM",On the Motion to Proceed Treaty Doc. 111-5,Motion to Proceed to Executive Session to Consider Treaty Doc. 111-5 Between the U.S.A. and the Russian Federation (START),"Treaty between the United States of America and the Russian Federation on Measures for the Further Reduction and Limitation of Strategic Offensive Arms, signed in Prague on April 8, 2010, with Protocol",Motion to Proceed Agreed to (66-32),'1/2',9,32,0,1,55,0,0,1,2,0,0,0,66,32,0,2,
278,111,2,H.R. 5281,"December 18, 2010,  11:09 AM",On the Cloture Motion H.R. 5281,Motion to Invoke Cloture on the Motion to Concur in the House Amendment to the Senate Amendment No. 3 to H.R. 5281,"A bill to amend title 28, United States Code, to clarify and improve certain provisions relating to the removal of litigation against Federal officers or agencies to Federal courts, and for other purposes.","Cloture Motion Rejected (55-41, 3/5 majority required)",'3/5',3,36,0,3,50,5,0,1,2,0,0,0,55,41,0,4,
279,111,2,H.R. 2965,"December 18, 2010,  11:36 AM",On the Cloture Motion H.R. 2965,Motion to Invoke Cloture on the Motion to Concur in the House Amendment to the Senate Amendment to H.R. 2965,"A bill to amend the Small Business Act with respect to the Small Business Innovation Research Program and the Small Business Technology Transfer Program, and for other purposes.","Cloture Motion Agreed to (63-33, 3/5 majority required)",'3/5',6,33,0,3,55,0,0,1,2,0,0,0,63,33,0,4,
280,111,2,PN1655,"December 18, 2010,  11:57 AM",On the Nomination PN1655,"Confirmation Ellen Lipton Hollander, of Maryland, to be United States District Judge","Ellen Lipton Hollander, of Maryland, to be United States District Judge for the District of Maryland",Nomination Confirmed (95-0),'1/2',39,0,0,3,54,0,0,2,2,0,0,0,95,0,0,5,
281,111,2,H.R. 2965,"December 18, 2010,  03:02 PM",On the Motion (Motion to Concur in the House Amendment to the Senate Amendment to H.R. 2965),Motion to Concur in the House Amendment to the Senate Amendment to H.R. 2965,"A bill to amend the Small Business Act with respect to the Small Business Innovation Research Program and the Small Business Technology Transfer Program, and for other purposes.",Motion Agreed to (65-31),'1/2',8,31,0,3,55,0,0,1,2,0,0,0,65,31,0,4,
282,111,2,,"December 18, 2010,  03:36 PM",On the Amendment S.Amdt. 4814 to Treaty Doc. 111-5,McCain Amdt. No. 4814 to Treaty Doc. 111-5,To amend the preamble to strike language regarding the interrelationship between strategic offensive arms and strategic defensive arms.,Amendment Rejected (37-59),'1/2',36,3,0,3,0,55,0,1,1,1,0,0,37,59,0,4,
283,111,2,,"December 19, 2010,  03:01 PM",On the Amendment S.Amdt. 4839 to Treaty Doc. 111-5,Risch Amdt. No. 4839,To amend the preamble to the Treaty to acknowledge the interrelationship between non-strategic and strategic offensive arms.,Amendment Rejected (32-60),'1/2',32,5,0,5,0,53,0,3,0,2,0,0,32,60,0,8,
284,111,2,PN1548,"December 19, 2010,  03:33 PM",On the Nomination PN1548,"Confirmation Raymond Joseph Lohier, Jr., of New York, to be U.S. Circuit Judge","Raymond Joseph Lohier, Jr., of New York, to be United States Circuit Judge for the Second Circuit",Nomination Confirmed (92-0),'1/2',37,0,0,5,53,0,0,3,2,0,0,0,92,0,0,8,
285,111,2,,"December 20, 2010,  06:10 PM",On the Amendment S.Amdt. 4833 to Treaty Doc. 111-5,Inhofe Amdt. No. 4833,To increase the number of Type One and Type Two inspections allowed under the Treaty.,Amendment Rejected (33-64),'1/2',33,8,0,1,0,54,0,2,0,2,0,0,33,64,0,3,
286,111,2,,"December 20, 2010,  06:36 PM",On the Amendment S.Amdt. 4841 to Treaty Doc. 111-5,Thune Amdt. No. 4841,To modify the deployed delivery vehicle limits of the Treaty.,Amendment Rejected (33-64),'1/2',33,8,0,1,0,54,0,2,0,2,0,0,33,64,0,3,
287,111,2,,"December 20, 2010,  06:54 PM",On the Amendment S.Amdt. 4847 to Treaty Doc. 111-5,LeMieux Amdt. No. 4847,To amend the Treaty to require negotiations to address the disparity between tactical nuclear weapon stockpiles.,Amendment Rejected (35-62),'1/2',35,6,0,1,0,54,0,2,0,2,0,0,35,62,0,3,
288,111,2,H.R. 3082,"December 21, 2010,  10:16 AM",On the Cloture Motion H.R. 3082,Motion to Invoke Cloture on the House Amendment to the Senate Amendment to H.R. 3082 With Amdt. No. 4885,"A bill making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2010, and for other purposes.","Cloture Motion Agreed to (82-14, 3/5 majority required)",'3/5',28,12,0,2,52,2,0,2,2,0,0,0,82,14,0,4,
289,111,2,H.R. 3082,"December 21, 2010,  02:01 PM",On the Motion (Motion to Concur in the House Amdt. to Senate Amdt. With Amdt. No. 4885 to H.R. 3082),Motion to Concur in the House Amdt. to Senate Amdt. With Amdt. No. 4885 to H.R. 3082,"A bill making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2010, and for other purposes.",Motion Agreed to (79-16),'1/2',25,14,0,3,52,2,0,2,2,0,0,0,79,16,0,5,
290,111,2,PN1248,"December 21, 2010,  02:38 PM",On the Nomination PN1248,"Confirmation Benita Y. Pearson, of Ohio to be U.S. District Judge","Benita Y. Pearson, of Ohio, to be United States District Judge for the Northern District of Ohio",Nomination Confirmed (56-39),'1/2',1,38,0,3,53,1,0,2,2,0,0,0,56,39,0,5,
291,111,2,PN1472,"December 21, 2010,  02:55 PM",On the Nomination PN1472,"Confirmation William Joseph Martinez, of Colorado, to be United States District Judge for the District of Colorado","William Joseph Martinez, of Colorado, to be United States District Judge for the District of Colorado",Nomination Confirmed (58-37),'1/2',2,37,0,3,54,0,0,2,2,0,0,0,58,37,0,5,
